Time [s];Position [mm];Force [N]
0,245;21,472;100,097656
0,246;21,587;100,097656
0,247;21,702;100,585938
0,248;21,815;100,097656
0,249;21,815;100,097656
0,25;21,93;100,585938
0,251;22,046;101,074219
0,252;22,162;100,585938
0,253;22,276;100,585938
0,254;22,276;100,585938
0,255;22,395;101,074219
0,256;22,51;101,074219
0,257;22,623;101,5625
0,258;22,738;101,5625
0,259;22,738;102,050781
0,26;22,854;102,050781
0,261;22,97;102,050781
0,262;23,087;102,050781
0,263;23,201;102,050781
0,264;23,318;102,539062
0,265;23,318;103,027344
0,266;23,431;103,027344
0,267;23,546;106,933594
0,268;23,662;103,027344
0,269;23,775;103,027344
0,27;23,775;103,515625
0,271;23,892;103,515625
0,272;24,008;103,515625
0,273;24,126;104,003906
0,274;24,243;103,515625
0,275;24,358;104,003906
0,276;24,358;104,492188
0,277;24,474;104,980469
0,278;24,59;104,492188
0,279;24,703;104,980469
0,28;24,819;104,980469
0,281;24,939;104,980469
0,282;24,939;105,46875
0,283;25,059;105,46875
0,284;25,176;104,980469
0,285;25,294;105,46875
0,286;25,407;105,957031
0,287;25,407;105,957031
0,288;25,524;108,886719
0,289;25,638;106,933594
0,29;25,755;106,445312
0,291;25,871;106,445312
0,292;25,871;106,445312
0,293;25,989;106,933594
0,294;26,108;106,933594
0,295;26,226;106,933594
0,296;26,344;107,421875
0,297;26,454;107,421875
0,298;26,463;107,421875
0,299;26,576;107,910156
0,3;26,691;108,886719
0,301;26,808;107,910156
0,302;26,926;107,910156
0,303;26,926;108,398438
0,304;27,044;108,398438
0,305;27,162;108,398438
0,306;27,281;109,375
0,307;27,396;108,886719
0,308;27,396;108,886719
0,309;27,511;108,886719
0,31;27,623;109,375
0,311;27,74;109,863281
0,312;27,857;109,375
0,313;27,973;110,839844
0,314;27,973;109,863281
0,315;28,088;109,863281
0,316;28,206;110,351562
0,317;28,322;110,839844
0,318;28,439;110,839844
0,319;28,551;110,351562
0,32;28,551;110,351562
0,321;28,666;111,328125
0,322;28,783;110,839844
0,323;28,901;110,839844
0,324;29,019;110,839844
0,325;29,019;111,328125
0,326;29,135;111,328125
0,327;29,255;111,328125
0,328;29,37;111,816406
0,329;29,485;111,816406
0,33;29,6;112,304688
0,331;29,6;112,304688
0,332;29,714;112,304688
0,333;29,834;112,304688
0,334;29,951;112,792969
0,335;30,068;113,28125
0,336;30,185;112,792969
0,337;30,185;117,1875
0,338;30,302;114,257812
0,339;30,417;113,28125
0,34;30,532;113,769531
0,341;30,641;113,769531
0,342;30,653;113,769531
0,343;30,775;113,769531
0,344;30,893;114,257812
0,345;31,009;114,257812
0,346;31,126;114,257812
0,347;31,126;114,746094
0,348;31,242;115,234375
0,349;31,355;114,746094
0,35;31,467;114,746094
0,351;31,582;115,234375
0,352;31,699;115,722656
0,353;31,699;115,234375
0,354;31,817;115,722656
0,355;31,935;116,210938
0,356;32,052;115,722656
0,357;32,079;115,722656
0,358;32,169;117,1875
0,359;32,288;116,210938
0,36;32,405;116,699219
0,361;32,522;116,699219
0,362;32,639;116,699219
0,363;32,639;116,699219
0,364;32,757;117,1875
0,365;32,875;117,1875
0,366;32,992;117,675781
0,367;33,109;117,675781
0,368;33,226;117,675781
0,369;33,226;117,675781
0,37;33,346;117,675781
0,371;33,463;118,164062
0,372;33,58;118,652344
0,373;33,697;118,164062
0,374;33,697;118,652344
0,375;33,817;120,605469
0,376;33,934;119,140625
0,377;34,052;118,652344
0,378;34,17;118,652344
0,379;34,278;119,140625
0,38;34,288;119,628906
0,381;34,407;119,628906
0,382;34,518;119,628906
0,383;34,635;119,628906
0,384;34,753;120,117188
0,385;34,753;120,117188
0,386;34,868;120,117188
0,387;34,986;120,117188
0,388;35,102;120,117188
0,389;35,218;120,605469
0,39;35,331;120,605469
0,391;35,331;120,605469
0,392;35,444;121,09375
0,393;35,56;121,09375
0,394;35,676;121,582031
0,395;35,791;121,582031
0,396;35,818;121,582031
0,397;35,909;121,582031
0,398;36,026;121,582031
0,399;36,138;122,070312
0,4;36,249;122,070312
0,401;36,282;122,558594
0,402;36,369;122,558594
0,403;36,487;122,558594
0,404;36,601;122,558594
0,405;36,718;123,046875
0,406;36,833;123,046875
0,407;36,833;122,558594
0,408;36,949;123,046875
0,409;37,063;123,046875
0,41;37,176;123,535156
0,411;37,287;123,535156
0,412;37,402;124,023438
0,413;37,402;124,023438
0,414;37,515;124,023438
0,415;37,63;124,023438
0,416;37,744;124,511719
0,417;37,857;124,511719
0,418;37,857;124,511719
0,419;37,971;125
0,42;38,085;125
0,421;38,198;125
0,422;38,311;125
0,423;38,427;125
0,424;38,427;125,976562
0,425;38,543;125,488281
0,426;38,655;125,488281
0,427;38,771;126,464844
0,428;38,883;125,976562
0,429;38,999;125,976562
0,43;38,999;126,464844
0,431;39,114;126,953125
0,432;39,225;126,464844
0,433;39,339;126,464844
0,434;39,455;126,953125
0,435;39,455;126,953125
0,436;39,571;126,953125
0,437;39,686;126,953125
0,438;39,802;127,441406
0,439;39,918;127,441406
0,44;40,034;127,441406
0,441;40,034;127,929688
0,442;40,153;127,929688
0,443;40,272;128,417969
0,444;40,39;128,417969
0,445;40,507;127,929688
0,446;40,624;127,929688
0,447;40,624;128,90625
0,448;40,741;128,417969
0,449;40,854;129,394531
0,45;40,969;129,394531
0,451;40,969;128,90625
