Time [s];Position [mm];Force [N]
0;0;53,222656
0,001;0,001;53,222656
0,002;0,004;53,222656
0,003;0,007;56,640625
0,004;0,007;53,710938
0,005;0,011;53,710938
0,006;0,016;53,710938
0,007;0,021;53,710938
0,008;0,027;54,199219
0,009;0,034;54,199219
0,01;0,034;54,199219
0,011;0,043;54,6875
0,012;0,052;54,6875
0,013;0,06;54,6875
0,014;0,067;55,175781
0,015;0,073;55,175781
0,016;0,073;55,175781
0,017;0,078;53,710938
0,018;0,086;55,175781
0,019;0,095;60,058594
0,02;0,104;55,664062
0,021;0,112;55,664062
0,022;0,112;56,640625
0,023;0,121;56,152344
0,024;0,131;57,128906
0,025;0,14;56,152344
0,026;0,15;57,617188
0,027;0,16;56,640625
0,028;0,169;56,640625
0,029;0,169;56,640625
0,03;0,179;57,128906
0,031;0,189;57,128906
0,032;0,199;57,128906
0,033;0,208;57,617188
0,034;0,217;57,617188
0,035;0,217;57,617188
0,036;0,227;57,617188
0,037;0,238;57,617188
0,038;0,249;59,082031
0,039;0,259;58,105469
0,04;0,271;58,105469
0,041;0,271;58,59375
0,042;0,283;58,59375
0,043;0,295;58,59375
0,044;0,307;58,59375
0,045;0,318;58,59375
0,046;0,329;59,082031
0,047;0,339;59,082031
0,048;0,339;59,082031
0,049;0,349;59,082031
0,05;0,359;59,082031
0,051;0,371;60,058594
0,052;0,383;59,570312
0,053;0,383;59,570312
0,054;0,395;60,546875
0,055;0,407;60,058594
0,056;0,42;60,546875
0,057;0,433;60,058594
0,058;0,444;61,035156
0,059;0,455;60,058594
0,06;0,455;60,058594
0,061;0,466;61,035156
0,062;0,475;60,546875
0,063;0,484;61,523438
0,064;0,495;60,546875
0,065;0,508;61,523438
0,066;0,508;61,035156
0,067;0,521;61,035156
0,068;0,534;61,035156
0,069;0,547;61,523438
0,07;0,56;61,035156
0,071;0,572;61,035156
0,072;0,583;61,523438
0,073;0,583;61,523438
0,074;0,593;61,523438
0,075;0,603;62,011719
0,076;0,612;62,011719
0,077;0,623;62,011719
0,078;0,635;62,988281
0,079;0,635;62,011719
