Time [s];Position [mm];Force [N]
0;0;59,570312
0,001;0,004;59,570312
0,002;0,014;60,058594
0,003;0,037;60,058594
0,004;0,068;60,546875
0,005;0,1;60,546875
0,006;0,1;61,035156
0,007;0,127;61,035156
0,008;0,155;61,523438
0,009;0,18;61,523438
0,01;0,206;61,523438
0,011;0,206;61,523438
0,012;0,233;61,523438
0,013;0,264;62,011719
0,014;0,298;62,011719
0,015;0,332;62,011719
0,016;0,37;62,5
0,017;0,412;62,988281
0,018;0,412;62,988281
0,019;0,453;62,988281
0,02;0,494;62,988281
0,021;0,535;62,5
0,022;0,576;63,476562
0,023;0,619;63,476562
0,024;0,619;63,964844
0,025;0,665;63,964844
0,026;0,716;63,964844
0,027;0,766;63,964844
0,028;0,818;63,964844
0,029;0,818;63,964844
0,03;0,87;64,941406
0,031;0,919;63,964844
0,032;0,969;64,453125
0,033;1,018;65,429688
0,034;1,067;65,429688
0,035;1,12;65,429688
0,036;1,12;65,429688
0,037;1,173;65,917969
0,038;1,228;65,917969
0,039;1,284;65,429688
0,04;1,339;65,429688
0,041;1,391;65,917969
0,042;1,391;65,917969
0,043;1,441;65,917969
0,044;1,492;66,40625
0,045;1,543;66,40625
0,046;1,595;66,40625
0,047;1,595;66,894531
0,048;1,65;66,894531
0,049;1,707;66,894531
0,05;1,765;66,894531
0,051;1,822;66,894531
0,052;1,877;67,871094
0,053;1,931;66,894531
0,054;1,931;67,871094
0,055;1,984;67,382812
0,056;2,038;67,871094
0,057;2,092;67,871094
0,058;2,148;67,871094
0,059;2,148;67,871094
0,06;2,205;68,359375
0,061;2,263;68,359375
0,062;2,322;68,847656
0,063;2,38;68,359375
0,064;2,437;68,359375
0,065;2,437;68,847656
0,066;2,491;68,847656
0,067;2,546;69,335938
0,068;2,601;68,847656
0,069;2,658;69,335938
0,07;2,716;69,335938
0,071;2,716;69,824219
0,072;2,775;69,335938
0,073;2,834;69,824219
0,074;2,892;69,824219
0,075;2,951;69,824219
0,076;3,007;69,824219
0,077;3,007;69,824219
0,078;3,064;69,824219
0,079;3,12;70,3125
0,08;3,177;70,3125
0,081;3,236;70,800781
0,082;3,294;70,3125
0,083;3,355;70,800781
0,084;3,355;70,800781
0,085;3,414;70,800781
0,086;3,474;70,800781
0,087;3,532;70,800781
0,088;3,588;70,800781
0,089;3,588;71,289062
0,09;3,645;71,289062
0,091;3,704;71,289062
0,092;3,764;71,289062
0,093;3,825;71,777344
0,094;3,887;71,777344
0,095;3,887;71,777344
0,096;3,947;71,777344
0,097;4,005;71,777344
0,098;4,067;72,753906
0,099;4,125;72,265625
0,1;4,185;71,777344
0,101;4,185;72,265625
0,102;4,243;72,265625
0,103;4,303;72,265625
0,104;4,364;72,753906
0,105;4,423;72,753906
0,106;4,484;73,730469
0,107;4,484;72,753906
0,108;4,543;72,753906
0,109;4,604;73,242188
0,11;4,665;72,753906
0,111;4,724;73,242188
0,112;4,782;73,242188
0,113;4,782;73,242188
0,114;4,839;73,242188
0,115;4,898;73,730469
0,116;4,96;74,21875
0,117;5,02;73,730469
0,118;5,081;73,730469
0,119;5,081;73,730469
0,12;5,142;74,21875
0,121;5,202;74,707031
0,122;5,263;74,21875
0,123;5,321;74,707031
0,124;5,38;74,21875
0,125;5,38;74,21875
0,126;5,438;74,21875
0,127;5,497;74,707031
0,128;5,559;74,707031
0,129;5,619;74,707031
0,13;5,679;74,707031
0,131;5,679;74,707031
0,132;5,74;75,195312
0,133;5,8;75,195312
0,134;5,86;75,683594
0,135;5,919;75,195312
0,136;5,977;75,683594
0,137;5,978;75,683594
0,138;6,039;76,171875
0,139;6,099;75,683594
0,14;6,16;75,683594
0,141;6,221;75,683594
0,142;6,221;75,683594
0,143;6,282;76,171875
0,144;6,341;76,660156
0,145;6,4;76,171875
0,146;6,46;76,171875
0,147;6,52;77,148438
0,148;6,52;77,148438
0,149;6,579;77,148438
0,15;6,64;76,660156
0,151;6,701;77,148438
0,152;6,763;76,660156
0,153;6,826;76,660156
0,154;6,826;77,148438
0,155;6,886;77,636719
0,156;6,947;78,125
0,157;7,007;77,148438
