Time [s];Position [mm];Force [N]
0,246;11,452;85,449219
0,247;11,452;84,960938
0,248;11,511;84,960938
0,249;11,572;85,449219
0,25;11,63;84,960938
0,251;11,69;85,449219
0,252;11,69;85,449219
0,253;11,751;85,449219
0,254;11,812;85,449219
0,255;11,875;85,449219
0,256;11,935;85,449219
0,257;11,995;85,449219
0,258;11,995;85,9375
0,259;12,055;85,9375
0,26;12,115;85,9375
0,261;12,176;86,914062
0,262;12,236;85,9375
0,263;12,297;85,9375
0,264;12,297;86,425781
0,265;12,358;86,425781
0,266;12,418;86,425781
0,267;12,478;86,425781
0,268;12,538;86,425781
0,269;12,598;86,425781
0,27;12,601;86,914062
0,271;12,658;86,914062
0,272;12,719;87,402344
0,273;12,782;86,914062
0,274;12,844;86,914062
0,275;12,904;86,914062
0,276;12,963;86,914062
0,277;12,963;87,890625
0,278;13,024;87,402344
0,279;13,085;87,402344
0,28;13,144;87,402344
0,281;13,204;87,402344
0,282;13,204;87,402344
0,283;13,264;87,402344
0,284;13,325;88,378906
0,285;13,386;88,378906
0,286;13,446;87,890625
0,287;13,506;87,890625
0,288;13,506;87,890625
0,289;13,566;88,378906
0,29;13,626;88,378906
0,291;13,685;88,867188
0,292;13,746;88,378906
0,293;13,807;88,378906
0,294;13,807;88,378906
0,295;13,868;88,867188
0,296;13,929;88,867188
0,297;13,991;88,867188
0,298;14,05;89,355469
0,299;14,111;88,867188
0,3;14,111;88,867188
0,301;14,171;89,355469
0,302;14,233;89,355469
0,303;14,294;89,355469
0,304;14,354;90,332031
0,305;14,354;89,355469
0,306;14,414;89,355469
0,307;14,472;90,332031
0,308;14,532;89,84375
0,309;14,591;89,84375
0,31;14,651;89,84375
0,311;14,711;89,84375
0,312;14,711;89,84375
0,313;14,772;89,84375
0,314;14,831;90,332031
0,315;14,893;90,332031
0,316;14,953;90,332031
0,317;15,013;90,332031
0,318;15,013;90,332031
0,319;15,072;91,308594
0,32;15,132;90,820312
0,321;15,194;90,820312
0,322;15,255;90,820312
0,323;15,315;91,308594
0,324;15,315;90,820312
0,325;15,375;90,820312
0,326;15,434;91,308594
0,327;15,495;91,308594
0,328;15,554;91,308594
0,329;15,554;91,308594
0,33;15,614;91,308594
0,331;15,674;91,796875
0,332;15,737;91,796875
0,333;15,799;91,796875
0,334;15,859;91,796875
0,335;15,859;91,796875
0,336;15,919;91,796875
0,337;15,98;91,796875
0,338;16,039;92,773438
0,339;16,1;92,285156
0,34;16,162;92,285156
0,341;16,202;92,285156
0,342;16,223;92,285156
0,343;16,286;92,285156
0,344;16,347;92,773438
0,345;16,408;92,773438
0,346;16,467;92,773438
0,347;16,467;92,773438
0,348;16,528;92,773438
0,349;16,587;92,773438
0,35;16,646;93,261719
0,351;16,707;93,75
0,352;16,767;93,261719
0,353;16,767;93,261719
0,354;16,828;93,75
0,355;16,888;93,75
0,356;16,948;93,261719
0,357;17,008;93,75
0,358;17,008;93,75
0,359;17,068;93,75
0,36;17,127;94,238281
0,361;17,188;93,75
0,362;17,249;95,214844
0,363;17,31;93,75
0,364;17,369;94,238281
0,365;17,371;94,238281
0,366;17,431;94,238281
0,367;17,491;94,238281
