Time [s];Position [mm];Force [N]
0;0,0326;47,6896
0,001;0,0352;47,9113
0,002;0,0399;48,1974
0,003;0,0445;48,3694
0,004;0,0502;48,6684
0,005;0,0532;48,9986
0,006;0,0586;49,139
0,007;0,0735;49,4226
0,008;0,0789;49,6969
0,009;0,0901;49,7336
0,01;0,0971;50,0251
0,011;0,1087;50,1463
0,012;0,118;50,4997
0,013;0,1282;50,7358
0,014;0,1424;50,827
0,015;0,1533;51,0995
0,016;0,1686;51,2733
0,017;0,1774;51,5293
0,018;0,1864;51,8551
0,019;0,1966;52,0078
0,02;0,2092;52,1455
0,021;0,2182;52,3019
0,022;0,2319;52,4296
0,023;0,2407;52,4429
0,024;0,2498;52,6344
0,025;0,2646;52,891
0,026;0,271;53,0075
0,027;0,2821;53,1075
0,028;0,293;53,3038
0,029;0,3031;53,4865
0,03;0,3104;53,7971
0,031;0,3224;53,9581
0,032;0,3312;54,1592
0,033;0,3465;54,3514
0,034;0,3566;54,4155
0,035;0,3641;54,6985
0,036;0,3786;54,788
0,037;0,3837;54,8326
0,038;0,3943;54,9152
0,039;0,4051;54,9206
0,04;0,4164;54,9861
0,041;0,4311;55,0621
0,042;0,4342;55,1738
0,043;0,444;55,3131
0,044;0,4584;55,4321
0,045;0,4681;55,5683
0,046;0,477;55,704
0,047;0,4822;55,8714
0,048;0,5002;55,9865
0,049;0,5066;56,067
0,05;0,5147;56,3239
0,051;0,5266;56,404
0,052;0,5371;56,5463
0,053;0,5456;56,707
0,054;0,5537;56,7693
0,055;0,5602;56,8241
0,056;0,5723;56,8869
0,057;0,5835;56,9335
0,058;0,5965;57,0532
0,059;0,6065;57,0929
0,06;0,6196;57,1369
0,061;0,6263;57,1645
0,062;0,6364;57,2398
0,063;0,648;57,4571
0,064;0,6592;57,5438
0,065;0,6672;57,7358
0,066;0,675;57,9182
0,067;0,6898;57,936
0,068;0,6956;58,1322
0,069;0,71;58,2411
0,07;0,7145;58,3637
0,071;0,7292;58,4722
0,072;0,7355;58,5194
0,073;0,7485;58,6261
0,074;0,7562;58,6283
0,075;0,7685;58,6627
0,076;0,7799;58,8192
0,077;0,786;58,7689
0,078;0,7969;58,9455
0,079;0,8111;58,9827
0,08;0,8174;59,0863
0,081;0,8283;59,2206
0,082;0,838;59,2954
0,083;0,8489;59,4269
0,084;0,8618;59,5164
0,085;0,8681;59,7042
0,086;0,885;59,877
0,087;0,89;59,9093
0,088;0,8997;60,0563
0,089;0,9101;60,0966
0,09;0,9209;60,2546
0,091;0,9289;60,3099
0,092;0,9447;60,4132
0,093;0,9521;60,5074
0,094;0,9648;60,5848
0,095;0,9688;60,6573
0,096;0,9826;60,6056
0,097;0,9938;60,6714
0,098;0,9986;60,7933
0,099;1,0126;60,8368
0,1;1,0217;60,8461
0,101;1,0341;60,9462
0,102;1,044;61,0685
0,103;1,0519;61,1564
0,104;1,0647;61,2068
0,105;1,074;61,354
0,106;1,0831;61,4902
0,107;1,0933;61,5069
0,108;1,108;61,6297
0,109;1,1145;61,679
0,11;1,1229;61,8856
0,111;1,1338;61,8889
0,112;1,1425;61,956
0,113;1,1538;62,06
0,114;1,1636;62,081
0,115;1,1748;62,0974
0,116;1,1859;62,1623
0,117;1,1903;62,2454
0,118;1,2028;62,3013
0,119;1,2116;62,3654
0,12;1,2241;62,4655
0,121;1,2316;62,5045
0,122;1,2474;62,6445
0,123;1,2544;62,6781
0,124;1,2626;62,7453
0,125;1,2767;62,9007
0,126;1,283;62,9524
0,127;1,296;63,0825
0,128;1,3049;63,0978
0,129;1,3185;63,161
0,13;1,3271;63,3942
0,131;1,3343;63,4116
0,132;1,3456;63,4326
0,133;1,3591;63,545
0,134;1,3663;63,5706
0,135;1,3736;63,6773
0,136;1,3849;63,7476
0,137;1,3939;63,7819
0,138;1,4085;63,7819
0,139;1,4181;63,8944
0,14;1,4259;63,9043
0,141;1,4374;63,9898
0,142;1,4464;64,1001
0,143;1,4549;64,1305
0,144;1,4657;64,2279
0,145;1,4776;64,2902
0,146;1,4895;64,3498
0,147;1,4973;64,4408
0,148;1,5065;64,5298
0,149;1,5177;64,5688
0,15;1,5271;64,6812
0,151;1,5391;64,7719
0,152;1,5483;64,7891
0,153;1,5597;64,9427
0,154;1,5685;65,0073
0,155;1,5757;65,0755
0,156;1,5861;65,1511
0,157;1,5954;65,2343
0,158;1,6057;65,2796
0,159;1,6194;65,3788
0,16;1,6312;65,3882
0,161;1,6405;65,4234
0,162;1,6489;65,4726
0,163;1,661;65,3739
0,164;1,6717;65,4022
0,165;1,6768;65,2137
0,166;1,6867;64,989
0,167;1,7038;64,8869
0,168;1,7091;64,9107
0,169;1,7191;65,1811
0,17;1,7334;65,2316
0,171;1,7414;65,1731
0,172;1,7489;65,4165
0,173;1,7612;65,5894
0,174;1,771;65,6322
0,175;1,7798;65,6933
0,176;1,789;65,8596
0,177;1,8023;66,0571
0,178;1,8102;66,0051
0,179;1,8199;66,0338
0,18;1,8297;66,0619
0,181;1,8418;66,0611
0,182;1,8505;66,0888
0,183;1,8623;66,0321
0,184;1,8681;66,0691
0,185;1,8811;65,9952
0,186;1,8903;66,0679
0,187;1,9013;65,9732
0,188;1,9115;66,0388
0,189;1,9218;65,977
0,19;1,9334;66,0207
0,191;1,9394;66,1137
0,192;1,9499;66,1131
0,193;1,9594;66,11
0,194;1,9704;66,2638
0,195;1,9835;66,2819
0,196;1,9949;66,3494
0,197;2,0068;66,3861
0,198;2,0112;66,4568
0,199;2,0257;66,5144
0,2;2,034;66,6183
0,201;2,0453;66,6355
0,202;2,0532;66,6986
0,203;2,0607;66,6521
0,204;2,074;66,5207
0,205;2,0824;66,5071
0,206;2,0951;66,6373
0,207;2,1039;66,6537
0,208;2,112;66,7984
0,209;2,1216;66,7948
0,21;2,1353;66,8807
0,211;2,1422;67,0154
0,212;2,1512;66,9388
0,213;2,166;66,9696
0,214;2,1723;67,0244
0,215;2,1818;66,8777
0,216;2,192;66,9491
0,217;2,2043;66,9278
0,218;2,2156;67,0887
0,219;2,2272;67,0373
0,22;2,2345;66,9373
0,221;2,2497;67,0193
0,222;2,2537;67,0204
0,223;2,2667;67,127
0,224;2,2731;67,188
0,225;2,2892;67,2117
0,226;2,2971;67,3028
0,227;2,3046;67,2739
0,228;2,3137;67,4249
0,229;2,3292;67,4182
0,23;2,3352;67,5231
0,231;2,3441;67,4218
0,232;2,3581;67,441
0,233;2,3681;67,435
0,234;2,3747;67,5373
0,235;2,3845;67,5501
0,236;2,3918;67,5564
0,237;2,4057;67,5936
0,238;2,415;67,6308
0,239;2,43;67,6557
0,24;2,4352;67,7004
0,241;2,4462;67,7118
0,242;2,4576;67,7449
0,243;2,4661;67,8903
0,244;2,4743;67,9154
0,245;2,4833;67,9448
0,246;2,4955;68,0146
0,247;2,5052;68,0256
0,248;2,5147;68,0753
0,249;2,5286;67,9953
0,25;2,5333;68,0573
0,251;2,5489;68,069
0,252;2,5585;68,1121
0,253;2,5683;68,1138
0,254;2,575;68,1224
0,255;2,5874;68,1192
0,256;2,6006;68,2268
0,257;2,6079;68,1815
0,258;2,6144;68,2696
0,259;2,6294;68,1616
0,26;2,6386;68,2201
0,261;2,6526;68,2433
0,262;2,6592;68,2514
0,263;2,6657;68,2815
0,264;2,681;68,3337
0,265;2,6872;68,4534
0,266;2,7016;68,4726
0,267;2,7074;68,4741
0,268;2,7192;68,499
0,269;2,7296;68,5085
0,27;2,7345;68,5827
0,271;2,7511;68,5488
0,272;2,7625;68,6111
0,273;2,768;68,5526
0,274;2,7763;68,5465
0,275;2,7911;68,676
0,276;2,8005;68,5848
0,277;2,8099;68,675
0,278;2,8201;68,7319
0,279;2,83;68,735
0,28;2,8376;68,8773
0,281;2,8505;68,8382
0,282;2,8586;68,9082
0,283;2,8697;68,8874
0,284;2,8818;68,8421
0,285;2,8888;68,8461
0,286;2,8996;68,8024
0,287;2,9075;68,781
0,288;2,9205;68,7619
0,289;2,9311;68,7933
0,29;2,9357;68,8909
0,291;2,9465;68,8263
0,292;2,9596;68,8068
0,293;2,9712;68,8779
0,294;2,9834;68,8603
0,295;2,9911;68,8487
0,296;3,0028;68,8697
0,297;3,0148;68,9881
0,298;3,0197;69,108
0,299;3,0305;69,1584
0,3;3,0402;69,1777
0,301;3,0526;69,182
0,302;3,0601;69,239
0,303;3,0728;69,2881
0,304;3,0831;69,2188
0,305;3,0892;69,2719
0,306;3,0986;69,2469
0,307;3,1083;69,2338
0,308;3,1231;69,2742
0,309;3,1316;69,2161
0,31;3,1442;69,3325
0,311;3,1506;69,337
0,312;3,1636;69,4097
0,313;3,1749;69,4646
0,314;3,1788;69,5124
0,315;3,1911;69,4897
0,316;3,2011;69,5561
0,317;3,2139;69,5127
0,318;3,2207;69,669
0,319;3,2322;69,6347
0,32;3,2439;69,6633
0,321;3,2553;69,7199
0,322;3,2657;69,7099
0,323;3,274;69,7401
0,324;3,2827;69,7092
0,325;3,2918;69,7304
0,326;3,3057;69,7647
0,327;3,3169;69,7248
0,328;3,3225;69,8012
0,329;3,3339;69,7281
0,33;3,344;69,8056
0,331;3,3569;69,8556
0,332;3,3628;69,8684
0,333;3,3714;69,9258
0,334;3,387;69,8798
0,335;3,3938;69,8898
0,336;3,4029;69,9282
0,337;3,4124;70,0152
0,338;3,4249;70,0535
0,339;3,432;70,0854
0,34;3,4428;70,1143
0,341;3,4533;70,1325
0,342;3,4649;70,1314
0,343;3,4744;70,1916
0,344;3,4882;70,0955
0,345;3,4898;70,0779
0,346;3,5058;70,0722
0,347;3,5162;70,0386
0,348;3,5253;70,104
0,349;3,5375;70,1555
0,35;3,5478;70,2405
0,351;3,556;70,208
0,352;3,5672;70,2695
0,353;3,5778;70,3218
0,354;3,5848;70,3988
0,355;3,5955;70,4551
0,356;3,6081;70,4062
0,357;3,6192;70,4306
0,358;3,623;70,4851
0,359;3,6394;70,4628
0,36;3,6448;70,5204
0,361;3,66;70,4907
0,362;3,6666;70,5466
0,363;3,6768;70,5525
0,364;3,6866;70,5109
0,365;3,6969;70,5032
0,366;3,7063;70,5178
0,367;3,7128;70,5889
0,368;3,729;70,5963
0,369;3,7348;70,5389
0,37;3,7478;70,6462
0,371;3,7582;70,6396
0,372;3,766;70,6508
0,373;3,7758;70,7049
0,374;3,787;70,6575
0,375;3,7997;70,7151
0,376;3,8109;70,7823
0,377;3,8185;70,846
0,378;3,827;70,8612
0,379;3,8383;70,8532
0,38;3,849;70,927
0,381;3,8618;70,9454
0,382;3,867;70,9941
0,383;3,876;70,9397
0,384;3,8888;70,9075
0,385;3,8952;70,9401
0,386;3,9082;70,9403
0,387;3,9153;70,9352
0,388;3,9251;70,9226
0,389;3,9376;70,9565
0,39;3,9482;71,1117
0,391;3,9606;71,0138
0,392;3,9663;71,0514
0,393;3,9811;71,1037
0,394;3,9894;71,0968
0,395;3,9977;71,1373
0,396;4,0072;71,1731
0,397;4,0205;71,1545
0,398;4,0304;71,1769
0,399;4,0385;71,1684
0,4;4,0528;71,1654
0,401;4,061;71,113
0,402;4,0696;71,0388
0,403;4,0822;71,2411
0,404;4,0904;71,1771
0,405;4,1018;71,2246
0,406;4,1083;71,241
0,407;4,1185;71,2968
0,408;4,1306;71,3203
0,409;4,1406;71,2352
0,41;4,1535;71,3007
0,411;4,1646;71,3953
0,412;4,17;71,3747
0,413;4,1823;71,4533
0,414;4,1952;71,4308
0,415;4,2022;71,4371
0,416;4,2132;71,5318
0,417;4,2202;71,5637
0,418;4,2284;71,6615
0,419;4,2394;71,5935
0,42;4,2487;71,6331
0,421;4,2583;71,672
0,422;4,2712;71,6159
0,423;4,2817;71,5715
0,424;4,2911;71,5642
0,425;4,3034;71,6153
0,426;4,3143;71,5913
0,427;4,3203;71,5669
0,428;4,3312;71,7465
0,429;4,3419;71,7187
0,43;4,3504;71,7328
0,431;4,3641;71,8056
0,432;4,3709;71,8551
0,433;4,3809;71,8101
0,434;4,3922;71,8448
0,435;4,4042;71,854
0,436;4,4148;71,8575
0,437;4,4227;71,9173
0,438;4,4307;71,9318
0,439;4,4449;71,9569
0,44;4,4526;72,0696
0,441;4,4613;72,0079
0,442;4,4736;72,0022
0,443;4,4817;72,0246
0,444;4,4918;71,9674
0,445;4,5009;72,0835
0,446;4,5124;72,0173
0,447;4,5199;72,0371
0,448;4,5327;72,0537
0,449;4,544;72,0171
0,45;4,549;72,0499
0,451;4,5622;72,0005
0,452;4,575;72,0642
0,453;4,5822;72,2004
0,454;4,5954;72,1655
0,455;4,6052;72,1962
0,456;4,6121;72,1813
0,457;4,6169;72,1889
0,458;4,6323;72,2523
0,459;4,6441;72,2617
0,46;4,6553;72,3288
0,461;4,6637;72,2368
0,462;4,6754;72,2709
0,463;4,6849;72,3217
0,464;4,6948;72,3083
0,465;4,7064;72,371
0,466;4,7133;72,2983
0,467;4,7266;72,3451
0,468;4,7331;72,3803
0,469;4,7391;72,389
0,47;4,756;72,3991
0,471;4,7624;72,4039
0,472;4,7746;72,4221
0,473;4,7838;72,4416
0,474;4,7987;72,4998
0,475;4,8068;72,4797
0,476;4,8141;72,4715
0,477;4,8254;72,528
0,478;4,8357;72,5473
0,479;4,8432;72,5597
0,48;4,8506;72,6538
0,481;4,8652;72,6342
0,482;4,8726;72,6658
0,483;4,8854;72,701
0,484;4,8964;72,6701
0,485;4,9055;72,7242
0,486;4,9126;72,7134
0,487;4,9252;72,7164
0,488;4,9362;72,7803
0,489;4,9437;72,7092
0,49;4,9559;72,8163
0,491;4,966;72,8034
0,492;4,9779;72,8127
0,493;4,9867;72,8528
0,494;4,9968;72,8281
0,495;5,0049;72,8886
0,496;5,0164;72,8679
0,497;5,0286;72,9216
0,498;5,0353;72,97
0,499;5,0488;72,9096
0,5;5,0568;72,966
0,501;5,0666;72,9614
0,502;5,0769;73,0522
0,503;5,0863;73,1215
0,504;5,1007;73,0335
0,505;5,1035;73,1515
0,506;5,118;73,1111
0,507;5,1239;73,1039
0,508;5,1347;73,089
0,509;5,1454;73,0889
0,51;5,1582;73,1376
0,511;5,1687;73,1732
0,512;5,1778;73,216
0,513;5,1915;73,1972
0,514;5,202;73,2064
0,515;5,212;73,2878
0,516;5,2175;73,2526
0,517;5,2269;73,2861
0,518;5,24;73,2771
0,519;5,2441;73,3131
0,52;5,2535;73,4165
0,521;5,2667;73,3144
0,522;5,2763;73,2988
