Time [s];Position [mm];Force [N]
0;0,137;42,1987
0,001;0,1532;43,6161
0,002;0,1733;45,6133
0,003;0,198;46,4213
0,004;0,2368;48,4612
0,005;0,2768;51,1169
0,006;0,3249;53,0667
0,007;0,371;53,9476
0,008;0,4237;54,7494
0,009;0,4767;55,6121
0,01;0,5326;56,3666
0,011;0,5816;57,0141
0,012;0,6421;57,2611
0,013;0,6946;56,8298
0,014;0,7524;56,8272
0,015;0,8116;56,4065
0,016;0,8684;56,7193
0,017;0,9203;58,0584
0,018;0,9735;58,9406
0,019;1,0256;59,744
0,02;1,0812;60,4643
0,021;1,1333;60,9006
0,022;1,1869;61,5054
0,023;1,2373;61,7558
0,024;1,2915;61,7013
0,025;1,341;61,8186
0,026;1,3932;62,0129
0,027;1,4455;62,1446
0,028;1,4915;62,7561
0,029;1,546;63,3242
0,03;1,5962;63,9511
0,031;1,6472;64,4757
0,032;1,6985;64,9171
0,033;1,7481;65,3089
0,034;1,7973;65,7722
0,035;1,8524;65,8444
0,036;1,8981;65,9103
0,037;1,9485;66,2907
0,038;2,0035;66,548
0,039;2,0511;66,7781
0,04;2,1053;67,0686
0,041;2,1528;67,6708
0,042;2,2015;68,179
0,043;2,2538;68,5236
0,044;2,3033;68,7279
0,045;2,3569;68,9052
0,046;2,4112;68,4892
0,047;2,4588;67,122
0,048;2,51;66,5606
0,049;2,5624;67,7258
0,05;2,6096;67,9525
0,051;2,6619;67,3509
0,052;2,711;67,535
0,053;2,7618;68,944
0,054;2,8145;68,0737
0,055;2,863;68,4683
0,056;2,9146;69,0755
0,057;2,9632;69,6746
0,058;3,0134;69,3038
0,059;3,0643;69,8566
0,06;3,1131;70,3571
0,061;3,1618;69,8165
0,062;3,2157;69,2208
0,063;3,2664;71,1915
0,064;3,3162;70,9983
0,065;3,3688;70,245
0,066;3,418;69,9321
0,067;3,4711;69,978
0,068;3,5215;69,7392
0,069;3,5721;68,7424
0,07;3,6234;69,7138
0,071;3,6747;71,067
0,072;3,7216;70,4669
0,073;3,7724;70,5637
0,074;3,824;70,549
0,075;3,8758;70,2519
0,076;3,9263;70,9801
0,077;3,9772;71,1831
0,078;4,0295;71,8747
0,079;4,0782;71,6746
0,08;4,1277;71,7521
0,081;4,1782;71,4551
0,082;4,2293;71,1973
0,083;4,2785;71,4147
0,084;4,3293;71,5311
0,085;4,3791;71,4823
0,086;4,4302;71,6341
0,087;4,4831;71,0874
0,088;4,5317;71,9842
0,089;4,5833;71,658
0,09;4,6338;71,4694
0,091;4,6828;71,9886
0,092;4,7346;72,3658
0,093;4,7841;72,5548
0,094;4,836;72,0811
0,095;4,8871;72,5013
0,096;4,9379;72,9649
0,097;4,988;72,8569
0,098;5,0404;73,2745
0,099;5,0886;73,4795
0,1;5,141;73,084
0,101;5,1936;73,2465
0,102;5,2452;73,2092
0,103;5,2898;73,0696
0,104;5,3422;72,884
0,105;5,3924;72,1852
0,106;5,4415;72,6866
0,107;5,4921;73,1808
0,108;5,5444;72,9192
0,109;5,5919;72,8314
0,11;5,6453;73,0313
0,111;5,6981;73,0518
0,112;5,747;73,2073
0,113;5,7968;73,4416
0,114;5,8476;74,2347
0,115;5,8987;74,2319
0,116;5,9479;74,0958
0,117;6,0014;73,8262
0,118;6,0523;74,2362
0,119;6,0987;74,402
0,12;6,153;74,8429
0,121;6,2046;74,5149
0,122;6,2533;74,5454
0,123;6,3026;74,856
0,124;6,3499;74,7371
0,125;6,4033;74,5356
0,126;6,4543;74,2444
0,127;6,5053;74,0958
0,128;6,555;74,2722
0,129;6,6054;74,5716
0,13;6,6564;74,7917
0,131;6,7054;74,8764
0,132;6,7555;75,1023
0,133;6,8059;74,9327
0,134;6,8573;75,0198
0,135;6,9079;75,573
0,136;6,9558;76,0409
0,137;7,0105;75,9796
0,138;7,0585;75,8634
0,139;7,1124;75,7743
0,14;7,1622;76,1346
0,141;7,2127;76,4747
0,142;7,2615;76,7559
0,143;7,3129;76,7654
0,144;7,363;76,633
0,145;7,4089;76,6202
0,146;7,4629;76,62
0,147;7,5144;76,4902
0,148;7,5627;76,2013
0,149;7,617;76,1333
0,15;7,6626;76,3342
0,151;7,7142;76,5244
0,152;7,7708;76,8483
0,153;7,8167;77,0637
0,154;7,867;77,1971
0,155;7,918;77,1779
0,156;7,9686;77,1456
0,157;8,0175;77,5068
0,158;8,0677;77,8639
0,159;8,1221;77,9873
0,16;8,1715;77,8391
0,161;8,2216;77,8898
0,162;8,2717;77,9268
0,163;8,3243;78,2164
0,164;8,3736;78,6934
0,165;8,4285;78,5761
0,166;8,4769;78,5384
0,167;8,5259;78,3123
0,168;8,5759;78,2291
0,169;8,6223;78,3708
0,17;8,6784;78,1903
0,171;8,7273;77,919
0,172;8,7736;78,1158
0,173;8,8295;78,2181
0,174;8,8798;78,4881
0,175;8,9278;78,8302
0,176;8,9761;78,9363
0,177;9,0259;78,9454
0,178;9,0814;78,9409
0,179;9,1304;79,0944
0,18;9,1815;79,5126
0,181;9,2304;79,8312
0,182;9,2803;79,7226
0,183;9,3339;79,6106
0,184;9,3836;79,5753
0,185;9,4352;79,6652
0,186;9,4866;80,0428
0,187;9,5378;80,0359
0,188;9,5861;80,1392
0,189;9,6384;80,0861
0,19;9,6873;79,8689
0,191;9,741;79,9984
0,192;9,7876;79,9105
0,193;9,8392;79,7753
0,194;9,8876;79,7889
0,195;9,9435;79,6214
0,196;9,9896;79,776
0,197;10,0402;80,2748
0,198;10,0908;80,484
0,199;10,1415;80,6172
0,2;10,1898;80,5471
0,201;10,2416;80,5376
0,202;10,294;80,8855
0,203;10,3474;81,212
0,204;10,3931;81,3558
0,205;10,4432;81,3907
0,206;10,4972;81,1597
0,207;10,542;81,1754
0,208;10,5994;81,4621
0,209;10,6456;81,5365
0,21;10,6984;81,7592
0,211;10,7511;81,836
0,212;10,7966;81,6751
0,213;10,8489;81,5996
0,214;10,9006;81,5538
0,215;10,9503;81,4552
0,216;11,0026;81,5755
0,217;11,0507;81,4549
0,218;11,1022;81,372
0,219;11,1513;81,6693
0,22;11,2014;82,0371
0,221;11,2522;82,2469
0,222;11,3022;82,3456
0,223;11,355;82,3565
0,224;11,4027;82,3706
0,225;11,4544;82,6664
0,226;11,5062;82,9719
0,227;11,5544;83,1482
0,228;11,6077;83,0024
0,229;11,657;83,0628
0,23;11,7091;83,0752
0,231;11,758;83,1878
0,232;11,8116;83,4759
0,233;11,8627;83,6891
0,234;11,91;83,5822
0,235;11,9632;83,5418
0,236;12,0148;83,4373
0,237;12,0646;83,3163
0,238;12,1142;83,4433
0,239;12,1643;83,2993
0,24;12,212;83,3012
0,241;12,2628;83,4118
0,242;12,3136;83,4931
0,243;12,3638;83,9673
0,244;12,4139;84,3023
0,245;12,467;84,1902
0,246;12,5152;84,3042
0,247;12,5644;84,2794
0,248;12,6146;84,5593
0,249;12,6676;85,0434
0,25;12,7166;85,0792
0,251;12,7678;84,9934
0,252;12,8194;84,9638
0,253;12,8709;84,927
0,254;12,9177;85,1587
0,255;12,9701;85,4758
0,256;13,0232;85,452
0,257;13,0721;85,484
0,258;13,1234;85,43
0,259;13,1759;85,2623
0,26;13,2215;85,1905
0,261;13,2723;85,3224
0,262;13,3254;85,1281
0,263;13,3729;85,2906
0,264;13,4238;85,2733
0,265;13,4732;85,3401
0,266;13,5251;85,9184
0,267;13,5735;86,139
0,268;13,6273;86,0957
0,269;13,6758;86,1369
0,27;13,7286;86,1125
0,271;13,7771;86,4697
0,272;13,8271;86,8611
0,273;13,8768;86,8361
0,274;13,9274;86,7473
0,275;13,9812;86,7445
0,276;14,0303;86,7176
0,277;14,0806;86,9335
0,278;14,1316;87,2027
0,279;14,1809;87,1838
0,28;14,2318;87,2421
0,281;14,2809;87,1303
0,282;14,3309;86,9353
0,283;14,3821;86,9544
0,284;14,4312;86,9442
0,285;14,4819;86,9181
0,286;14,534;86,9989
0,287;14,584;86,9993
0,288;14,6336;87,1738
0,289;14,6847;87,5249
0,29;14,7342;87,7619
0,291;14,7867;87,7768
0,292;14,8363;87,7476
0,293;14,8866;87,8077
0,294;14,9361;88,1792
0,295;14,9876;88,438
0,296;15,0384;88,4532
0,297;15,0892;88,3437
0,298;15,1387;88,4202
0,299;15,1913;88,4459
0,3;15,2413;88,6433
0,301;15,2918;88,8765
0,302;15,3411;89,0063
0,303;15,3925;88,872
0,304;15,444;88,672
0,305;15,4932;88,6874
0,306;15,544;88,6792
0,307;15,5921;88,6409
0,308;15,6412;88,6595
0,309;15,6932;88,6548
0,31;15,7414;88,6956
0,311;15,7928;88,9918
0,312;15,8442;89,3077
0,313;15,8938;89,5025
0,314;15,9452;89,5551
0,315;15,9987;89,4775
0,316;16,0459;89,6167
0,317;16,0986;89,9584
0,318;16,149;90,1691
0,319;16,1986;90,2926
0,32;16,2486;90,2448
0,321;16,2992;90,1541
0,322;16,3486;90,2361
0,323;16,4005;90,4434
0,324;16,4497;90,6678
0,325;16,5042;90,7199
0,326;16,553;90,7233
0,327;16,5993;90,5206
0,328;16,6534;90,4447
0,329;16,7049;90,4499
0,33;16,7506;90,502
0,331;16,8046;90,5433
0,332;16,8544;90,5041
0,333;16,9025;90,611
0,334;16,9561;90,868
0,335;17,0056;91,1185
0,336;17,0535;91,3224
0,337;17,1071;91,4968
0,338;17,1546;91,5002
0,339;17,2065;91,5247
0,34;17,259;91,7943
0,341;17,306;92,0621
0,342;17,3608;92,1725
0,343;17,412;92,1628
0,344;17,4617;92,0287
0,345;17,5124;92,0681
0,346;17,5617;92,3034
0,347;17,6144;92,4745
0,348;17,6645;92,5931
0,349;17,7139;92,587
0,35;17,7628;92,3399
0,351;17,8174;92,2542
0,352;17,8628;92,3829
0,353;17,9139;92,3966
0,354;17,9626;92,3694
0,355;18,0146;92,4201
0,356;18,0637;92,4938
0,357;18,1143;92,7095
0,358;18,1658;93,0606
0,359;18,2158;93,1778
0,36;18,2673;93,3027
0,361;18,3159;93,3064
0,362;18,3668;93,3864
0,363;18,4161;93,6602
0,364;18,4727;93,7765
0,365;18,5203;93,8979
0,366;18,5709;93,9021
0,367;18,6223;93,8771
0,368;18,6757;93,857
0,369;18,7212;93,9988
0,37;18,7713;94,2519
0,371;18,8222;94,3856
0,372;18,8745;94,3758
0,373;18,9257;94,1211
0,374;18,9715;94,0197
0,375;19,0223;94,0417
0,376;19,0729;94,0607
0,377;19,1256;94,1948
0,378;19,1743;94,2123
0,379;19,2287;94,1277
0,38;19,2772;94,3921
0,381;19,3271;94,7428
0,382;19,3792;94,8682
0,383;19,4317;94,9923
0,384;19,4809;95,0077
0,385;19,5316;94,9841
0,386;19,5795;95,3138
0,387;19,6319;95,4802
0,388;19,6788;95,5762
0,389;19,7279;95,6845
0,39;19,7824;95,5576
0,391;19,8307;95,5256
0,392;19,8808;95,855
0,393;19,9322;95,9536
0,394;19,9846;96,1497
0,395;20,0327;96,0238
0,396;20,0837;95,8142
0,397;20,1306;95,7203
0,398;20,1816;95,8272
0,399;20,2345;95,753
0,4;20,2838;95,8397
0,401;20,3357;95,8982
0,402;20,3871;95,8717
0,403;20,4366;96,1735
0,404;20,486;96,4079
0,405;20,5383;96,5849
0,406;20,5883;96,7426
0,407;20,6376;96,7362
0,408;20,6861;96,802
0,409;20,7374;97,0722
0,41;20,7904;97,1488
0,411;20,8363;97,3322
0,412;20,8903;97,4683
0,413;20,9419;97,2668
0,414;20,9905;97,3321
0,415;21,0389;97,5752
0,416;21,0905;97,7137
0,417;21,1418;97,837
0,418;21,1913;97,8605
0,419;21,2402;97,653
0,42;21,2906;97,5472
0,421;21,343;97,5748
0,422;21,3916;97,561
0,423;21,4441;97,6766
0,424;21,4926;97,7783
0,425;21,5418;97,7618
0,426;21,5938;97,9452
0,427;21,6439;98,1992
0,428;21,6968;98,451
0,429;21,7459;98,5928
0,43;21,7974;98,5819
0,431;21,8464;98,6142
0,432;21,8921;98,8045
0,433;21,9472;99,1092
0,434;21,9976;99,2489
0,435;22,0491;99,198
0,436;22,0961;99,1263
0,437;22,1489;99,1784
0,438;22,1968;99,3636
0,439;22,2485;99,5115
0,44;22,2967;99,6441
0,441;22,3517;99,6093
0,442;22,3982;99,4725
0,443;22,4488;99,3886
0,444;22,5022;99,3218
0,445;22,5511;99,3745
0,446;22,6008;99,5842
0,447;22,6529;99,5318
0,448;22,702;99,5882
0,449;22,7524;99,7775
0,45;22,803;100,045
0,451;22,8541;100,265
0,452;22,9036;100,427
0,453;22,9574;100,358
0,454;23,006;100,426
0,455;23,0556;100,576
0,456;23,1059;100,757
0,457;23,1554;100,926
0,458;23,2062;101,036
0,459;23,2565;100,944
0,46;23,3072;100,919
0,461;23,3577;101,008
0,462;23,4067;101,212
0,463;23,4572;101,461
0,464;23,5087;101,465
0,465;23,5578;101,239
0,466;23,6096;101,169
0,467;23,659;101,102
0,468;23,7122;101,154
0,469;23,7601;101,25
0,47;23,8151;101,336
0,471;23,8612;101,4
0,472;23,9153;101,457
0,473;23,9611;101,672
0,474;24,0137;101,939
0,475;24,0636;102,103
0,476;24,112;102,008
0,477;24,1604;102,078
0,478;24,2141;102,207
0,479;24,2636;102,333
0,48;24,315;102,64
0,481;24,3666;102,69
0,482;24,4158;102,694
0,483;24,4673;102,655
0,484;24,517;102,763
0,485;24,565;102,874
0,486;24,6177;103,091
0,487;24,6712;103,125
0,488;24,7139;103,014
0,489;24,7673;102,937
0,49;24,8229;102,763
0,491;24,8725;102,821
0,492;24,9196;102,926
0,493;24,9711;102,988
0,494;25,0218;103,114
0,495;25,0725;103,145
0,496;25,1216;103,301
0,497;25,1712;103,634
0,498;25,2229;103,785
0,499;25,2701;103,833
0,5;25,3241;103,95
0,501;25,3784;103,922
0,502;25,4218;104,061
0,503;25,4746;104,36
0,504;25,5244;104,383
0,505;25,5751;104,408
0,506;25,6276;104,503
0,507;25,677;104,506
0,508;25,7245;104,618
0,509;25,7794;104,754
0,51;25,8273;104,859
0,511;25,8775;104,893
0,512;25,9287;104,824
0,513;25,9766;104,538
0,514;26,0287;104,574
0,515;26,0817;104,776
0,516;26,1296;104,747
0,517;26,178;104,884
0,518;26,2305;105,017
0,519;26,2798;105,126
0,52;26,3306;105,31
0,521;26,381;105,578
0,522;26,4342;105,552
0,523;26,4801;105,661
0,524;26,5309;105,822
0,525;26,5821;105,808
0,526;26,6343;105,984
0,527;26,6865;106,173
0,528;26,7353;106,238
0,529;26,7852;106,343
0,53;26,8355;106,374
0,531;26,887;106,303
0,532;26,9338;106,574
0,533;26,9871;106,726
0,534;27,0359;106,697
0,535;27,0854;106,671
0,536;27,1356;106,446
0,537;27,1881;106,378
0,538;27,2399;106,582
0,539;27,2888;106,646
0,54;27,3377;106,634
0,541;27,3885;106,817
0,542;27,439;106,85
0,543;27,4868;107,092
0,544;27,5398;107,292
0,545;27,5882;107,281
0,546;27,6398;107,422
0,547;27,6914;107,582
0,548;27,7413;107,548
0,549;27,7894;107,663
0,55;27,8424;107,867
0,551;27,8924;107,944
0,552;27,9434;108,11
0,553;27,9935;108,102
0,554;28,0434;108,023
0,555;28,0924;108,164
0,556;28,1466;108,389
0,557;28,1958;108,36
0,558;28,2457;108,403
0,559;28,293;108,294
0,56;28,3462;108,162
0,561;28,3962;108,192
0,562;28,4456;108,36
0,563;28,4944;108,357
0,564;28,5471;108,457
0,565;28,5999;108,623
0,566;28,6468;108,696
0,567;28,6997;108,891
0,568;28,7501;109,093
0,569;28,8018;109,135
0,57;28,848;109,249
0,571;28,9016;109,346
0,572;28,9502;109,349
0,573;29,0011;109,5
0,574;29,0551;109,584
0,575;29,0986;109,637
0,576;29,1525;109,82
0,577;29,201;109,772
0,578;29,2509;109,773
0,579;29,3034;109,95
0,58;29,3535;110,064
0,581;29,403;110,175
0,582;29,4531;110,117
0,583;29,5031;110,005
0,584;29,5538;109,947
0,585;29,601;110,056
0,586;29,6539;110,045
0,587;29,7046;110,15
0,588;29,7537;110,312
0,589;29,8035;110,409
0,59;29,8562;110,483
0,591;29,9072;110,701
0,592;29,9567;110,77
0,593;30,0053;110,943
0,594;30,0572;111,04
0,595;30,1072;111,086
0,596;30,1566;111,184
0,597;30,2093;111,359
0,598;30,2641;111,312
0,599;30,31;111,636
